,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[41],-2.94106,0.00490326,0.420846,0.422152,-3.63906,-2.93815,-2.26075,7469.81,4775.86,0.369049,1.00059
y_pred[42],-2.94106,0.00490326,0.420846,0.422152,-3.63906,-2.93815,-2.26075,7469.81,4775.86,0.369049,1.00059
y_pred[43],-2.94106,0.00490326,0.420846,0.422152,-3.63906,-2.93815,-2.26075,7469.81,4775.86,0.369049,1.00059
y_pred[44],-2.94106,0.00490326,0.420846,0.422152,-3.63906,-2.93815,-2.26075,7469.81,4775.86,0.369049,1.00059
y_pred[45],-2.94106,0.00490326,0.420846,0.422152,-3.63906,-2.93815,-2.26075,7469.81,4775.86,0.369049,1.00059
y_pred[46],-2.26805,0.0049323,0.466617,0.458199,-3.02995,-2.27029,-1.50571,9171.43,6006.36,0.453118,1.00087
y_pred[47],-2.26805,0.0049323,0.466617,0.458199,-3.02995,-2.27029,-1.50571,9171.43,6006.36,0.453118,1.00087
y_pred[48],-2.26805,0.0049323,0.466617,0.458199,-3.02995,-2.27029,-1.50571,9171.43,6006.36,0.453118,1.00087
y_pred[49],-2.26805,0.0049323,0.466617,0.458199,-3.02995,-2.27029,-1.50571,9171.43,6006.36,0.453118,1.00087
y_pred[50],-2.26805,0.0049323,0.466617,0.458199,-3.02995,-2.27029,-1.50571,9171.43,6006.36,0.453118,1.00087
y_pred[51],-0.153751,0.00647399,0.524368,0.51022,-1.0492,-0.143034,0.681559,6818.82,6247.49,0.336887,1.00025
y_pred[52],-0.153751,0.00647399,0.524368,0.51022,-1.0492,-0.143034,0.681559,6818.82,6247.49,0.336887,1.00025
y_pred[53],-0.153751,0.00647399,0.524368,0.51022,-1.0492,-0.143034,0.681559,6818.82,6247.49,0.336887,1.00025
y_pred[54],-0.153751,0.00647399,0.524368,0.51022,-1.0492,-0.143034,0.681559,6818.82,6247.49,0.336887,1.00025
y_pred[55],-0.153751,0.00647399,0.524368,0.51022,-1.0492,-0.143034,0.681559,6818.82,6247.49,0.336887,1.00025
y_pred[56],-0.0941847,0.00978463,0.635597,0.642903,-1.16351,-0.080483,0.943078,4242.24,5708.8,0.20959,1.00072
y_pred[57],-0.0941847,0.00978463,0.635597,0.642903,-1.16351,-0.080483,0.943078,4242.24,5708.8,0.20959,1.00072
y_pred[58],-0.0941847,0.00978463,0.635597,0.642903,-1.16351,-0.080483,0.943078,4242.24,5708.8,0.20959,1.00072
y_pred[59],-0.0941847,0.00978463,0.635597,0.642903,-1.16351,-0.080483,0.943078,4242.24,5708.8,0.20959,1.00072
y_pred[60],-0.0941847,0.00978463,0.635597,0.642903,-1.16351,-0.080483,0.943078,4242.24,5708.8,0.20959,1.00072
R0,12.7733,0.0807242,7.0675,5.35159,5.16296,11.0195,26.4657,7685.65,5923.72,0.379713,1.00023
