,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[9],-1.18046,0.00267345,0.198154,0.195577,-1.52505,-1.17127,-0.876494,5732.1,4905.42,0.740928,1.00105
log_lik[10],-1.47769,0.00348388,0.285159,0.283459,-1.95706,-1.47057,-1.02042,6770.84,6712.38,0.875195,1.00069
log_lik[11],-1.22397,0.00315442,0.23071,0.225221,-1.6292,-1.21025,-0.875432,5614.23,5484.61,0.725692,1.00113
log_lik[12],-1.42714,0.0039207,0.30294,0.287395,-1.96953,-1.3951,-0.99087,6119.68,6417.53,0.791027,1.00075
log_lik[13],-1.20187,0.0030011,0.218939,0.214053,-1.58051,-1.18968,-0.868673,5593.75,5227.48,0.723044,1.00118
log_lik[14],-1.28515,0.00343927,0.255521,0.246074,-1.73964,-1.26367,-0.907413,5747.81,5823.0,0.742958,1.00098
log_lik[15],-1.39361,0.00381653,0.292272,0.278526,-1.91937,-1.36306,-0.972637,6030.77,6217.21,0.779533,1.00076
log_lik[16],-1.19228,0.00284606,0.210933,0.207581,-1.56155,-1.18108,-0.870618,5783.74,4813.47,0.747602,1.00074
log_lik[17],-1.18873,0.00282556,0.209157,0.205194,-1.5566,-1.17691,-0.866906,5697.06,4814.44,0.736399,1.00062
log_lik[18],-1.20046,0.00286833,0.213894,0.209233,-1.57722,-1.18826,-0.874937,5868.05,5230.33,0.758501,1.00079
log_lik[19],-1.19057,0.00283046,0.209458,0.205749,-1.5574,-1.17911,-0.865677,5689.23,4922.59,0.735387,1.00056
log_lik[20],-1.18962,0.00282809,0.209272,0.205689,-1.55574,-1.17868,-0.864781,5689.36,4827.63,0.735404,1.00059
log_lik[21],-0.317486,0.00160117,0.133998,0.128453,-0.564349,-0.2978,-0.135809,7277.03,5435.19,0.940625,1.00005
log_lik[22],-0.317486,0.00160117,0.133998,0.128453,-0.564349,-0.2978,-0.135809,7277.03,5435.19,0.940625,1.00005
log_lik[23],-0.317486,0.00160117,0.133998,0.128453,-0.564349,-0.2978,-0.135809,7277.03,5435.19,0.940625,1.00005
log_lik[24],-0.317486,0.00160117,0.133998,0.128453,-0.564349,-0.2978,-0.135809,7277.03,5435.19,0.940625,1.00005
log_lik[25],-0.317486,0.00160117,0.133998,0.128453,-0.564349,-0.2978,-0.135809,7277.03,5435.19,0.940625,1.00005
log_lik[26],-0.654859,0.00302286,0.278557,0.27109,-1.16735,-0.615612,-0.27222,8498.68,6365.52,1.09853,1.00058
log_lik[27],-0.654859,0.00302286,0.278557,0.27109,-1.16735,-0.615612,-0.27222,8498.68,6365.52,1.09853,1.00058
log_lik[28],-0.654859,0.00302286,0.278557,0.27109,-1.16735,-0.615612,-0.27222,8498.68,6365.52,1.09853,1.00058
log_lik[29],-0.654859,0.00302286,0.278557,0.27109,-1.16735,-0.615612,-0.27222,8498.68,6365.52,1.09853,1.00058
log_lik[30],-0.654859,0.00302286,0.278557,0.27109,-1.16735,-0.615612,-0.27222,8498.68,6365.52,1.09853,1.00058
log_lik[31],-2.51728,0.00600932,0.508014,0.493171,-3.37699,-2.49631,-1.72846,7088.52,6436.86,0.916258,1.00022
log_lik[32],-1.8095,0.00412459,0.341074,0.323755,-2.43227,-1.76338,-1.34564,7164.79,6286.21,0.926116,1.00004
